,State,County,Year,MME,Population,fips,_merge,Prescription Rate Per Capita
0,FL,Alachua,2006,82596618.68772501,237199,12001.0,both,348.2165552457009
1,FL,Alachua,2007,95259627.97678752,240196,12001.0,both,396.59123372906924
2,FL,Alachua,2008,114675221.9217625,242133,12001.0,both,473.60426675324095
3,FL,Alachua,2009,141281048.185425,243574,12001.0,both,580.0333704969538
4,FL,Alachua,2010,150910785.8758875,247336,12001.0,both,610.1448469931087
5,FL,Alachua,2011,145750680.8992875,249879,12001.0,both,583.2850335533898
6,FL,Alachua,2012,127727613.0215625,251596,12001.0,both,507.66949006169614
7,FL,Alachua,2013,107507710.845675,252585,12001.0,both,425.6298309308748
8,FL,Alachua,2014,102605375.415,255606,12001.0,both,401.42005827328
9,FL,Baker,2006,11900178.6375,25021,12003.0,both,475.6076350865273
10,FL,Baker,2007,13793788.183225,25605,12003.0,both,538.7146332054286
11,FL,Baker,2008,15651322.154225,26048,12003.0,both,600.8646404416845
12,FL,Baker,2009,19165967.295,26336,12003.0,both,727.7478468636089
13,FL,Baker,2010,29821453.215,27115,12003.0,both,1099.8138747925502
14,FL,Baker,2011,32777553.12,27055,12003.0,both,1211.5155468490113
15,FL,Baker,2012,21659461.65,27059,12003.0,both,800.4531449794893
16,FL,Baker,2013,18677498.7825,27008,12003.0,both,691.554309186167
17,FL,Baker,2014,16520998.8,27123,12003.0,both,609.1139918150648
18,FL,Bay,2006,61998102.472075,163802,12005.0,both,378.49417267234224
19,FL,Bay,2007,61255857.999262504,163300,12005.0,both,375.1124188564758
20,FL,Bay,2008,65665012.9212625,163802,12005.0,both,400.8804100149113
21,FL,Bay,2009,68131167.19293751,164767,12005.0,both,413.5000770356777
22,FL,Bay,2010,73912302.2531625,168852,12005.0,both,437.73424213608666
23,FL,Bay,2011,73505844.8476875,169587,12005.0,both,433.44032766478267
24,FL,Bay,2012,73272653.351325,171818,12005.0,both,426.4550474998254
25,FL,Bay,2013,76379516.77950001,174704,12005.0,both,437.1938637896099
26,FL,Bay,2014,86645174.0029125,178435,12005.0,both,485.5839605621795
27,FL,Bradford,2006,13424830.8949,28610,12007.0,both,469.2356132436211
28,FL,Bradford,2007,15854865.475125,28997,12007.0,both,546.7760621831569
29,FL,Bradford,2008,17501063.6835,29171,12007.0,both,599.9473341160742
30,FL,Bradford,2009,21250949.6668125,29235,12007.0,both,726.9009634620319
31,FL,Bradford,2010,26551078.9838625,28520,12007.0,both,930.9634987329067
32,FL,Bradford,2011,21271099.1925,28430,12007.0,both,748.1920222476257
33,FL,Bradford,2012,16872471.0225,27052,12007.0,both,623.705124297649
34,FL,Bradford,2013,13760352.6375,26804,12007.0,both,513.3693716422922
35,FL,Bradford,2014,13171830.795,26562,12007.0,both,495.890023153377
36,FL,Brevard,2006,201186153.403075,530319,12009.0,both,379.3681791583462
37,FL,Brevard,2007,246505683.9382375,534407,12009.0,both,461.2695640929806
38,FL,Brevard,2008,317947599.2637875,536314,12009.0,both,592.8385223279413
39,FL,Brevard,2009,365366249.71935,536357,12009.0,both,681.1997414396568
40,FL,Brevard,2010,508840976.4944625,543376,12009.0,both,936.4435979772064
41,FL,Brevard,2011,481720149.90375,544442,12009.0,both,884.7960846219615
42,FL,Brevard,2012,363107377.34235,547119,12009.0,both,663.6716643771282
43,FL,Brevard,2013,310121675.5176375,550478,12009.0,both,563.3679738656904
44,FL,Brevard,2014,309296956.0606125,555838,12009.0,both,556.4516209050344
45,FL,Broward,2006,1222607389.6560626,1762334,12011.0,both,693.7432913715917
46,FL,Broward,2007,1720337481.7214875,1746968,12011.0,both,984.7561499246051
47,FL,Broward,2008,2180537488.6392627,1753262,12011.0,both,1243.7031593904749
48,FL,Broward,2009,2584508114.0166197,1766476,12011.0,both,1463.0870241184255
49,FL,Broward,2010,3026736844.585425,1748066,12011.0,both,1731.477441118027
50,FL,Broward,2011,1492503447.6553874,1787096,12011.0,both,835.155720596648
51,FL,Broward,2012,809178909.6923625,1814468,12011.0,both,445.95931683135916
52,FL,Broward,2013,591502285.96935,1836869,12011.0,both,322.01658690377485
53,FL,Broward,2014,569999600.4909375,1861259,12011.0,both,306.2441070753385
54,FL,Calhoun,2006,1851905.823,13394,12013.0,both,138.26383626997165
55,FL,Calhoun,2007,2021532.2535,13515,12013.0,both,149.57693329633742
56,FL,Calhoun,2008,2225156.55,13543,12013.0,both,164.3030753895001
57,FL,Calhoun,2009,2580235.47,13821,12013.0,both,186.68949207727374
58,FL,Calhoun,2010,2722435.965,14625,12013.0,both,186.1494676923077
59,FL,Calhoun,2011,2810688.7313625,14725,12013.0,both,190.8786914337861
60,FL,Calhoun,2012,2793381.48,14673,12013.0,both,190.37562052749948
61,FL,Calhoun,2013,2826420.5288625,14582,12013.0,both,193.8294149542244
62,FL,Calhoun,2014,2960742.6975,14456,12013.0,both,204.81064592556723
63,FL,Charlotte,2006,82123597.1579375,154885,12015.0,both,530.2230503789101
64,FL,Charlotte,2007,103366666.8672,157235,12015.0,both,657.4024032003053
65,FL,Charlotte,2008,142308398.400525,157736,12015.0,both,902.1935284305739
66,FL,Charlotte,2009,191565348.6274875,156952,12015.0,both,1220.5346133052622
67,FL,Charlotte,2010,230654246.589525,159978,12015.0,both,1441.787286936485
68,FL,Charlotte,2011,207165206.2881375,159926,12015.0,both,1295.3816533155177
69,FL,Charlotte,2012,120917427.198375,162840,12015.0,both,742.5535937016397
70,FL,Charlotte,2013,82992538.080225,164801,12015.0,both,503.592442280235
71,FL,Charlotte,2014,82174947.690225,168208,12015.0,both,488.531744567589
72,FL,Citrus,2006,49646891.0293375,136796,12017.0,both,362.9264819829345
73,FL,Citrus,2007,58420509.5731125,139838,12017.0,both,417.77277687833424
74,FL,Citrus,2008,71761417.6846625,140865,12017.0,both,509.4339806528414
75,FL,Citrus,2009,81649551.25245,140357,12017.0,both,581.7276748038929
76,FL,Citrus,2010,111738273.3277875,141236,12017.0,both,791.1458362442119
77,FL,Citrus,2011,148717253.4045375,139782,12017.0,both,1063.9227754971134
78,FL,Citrus,2012,101576393.30385,139215,12017.0,both,729.6368444768882
79,FL,Citrus,2013,77398689.5368125,138888,12017.0,both,557.2741312194898
80,FL,Citrus,2014,73705624.816575,138907,12017.0,both,530.6113069649118
81,FL,Clay,2006,69327289.9772,176720,12019.0,both,392.3001922657311
82,FL,Clay,2007,85815940.69482501,182392,12019.0,both,470.5027670886059
83,FL,Clay,2008,98532925.9160125,185102,12019.0,both,532.3169167054516
84,FL,Clay,2009,125011367.1661125,186756,12019.0,both,669.3834049032561
85,FL,Clay,2010,144996735.7280625,190865,12019.0,both,759.6821613604511
86,FL,Clay,2011,149491520.33715,192335,12019.0,both,777.2455368869421
87,FL,Clay,2012,134424406.2445125,193909,12019.0,both,693.2344875406118
88,FL,Clay,2013,108168341.2847625,195732,12019.0,both,552.6349359571378
89,FL,Clay,2014,95418837.420675,198687,12019.0,both,480.2470087155928
90,FL,Collier,2006,107528680.73415,311650,12021.0,both,345.0302606582705
91,FL,Collier,2007,129910312.756925,313463,12021.0,both,414.43587522905415
92,FL,Collier,2008,147472347.386,315533,12021.0,both,467.3753534051906
93,FL,Collier,2009,202995696.267675,318537,12021.0,both,637.275092901845
94,FL,Collier,2010,237663779.7535875,321520,12021.0,both,739.1881679322827
95,FL,Collier,2011,198903375.2560875,327670,12021.0,both,607.0234542560733
96,FL,Collier,2012,141917084.2426875,332330,12021.0,both,427.0366329933725
97,FL,Collier,2013,121062513.3206625,339133,12021.0,both,356.97650573864087
98,FL,Collier,2014,110104553.5518,347401,12021.0,both,316.937929228183
99,FL,Columbia,2006,27550681.7085875,66975,12023.0,both,411.3576962835013
100,FL,Columbia,2007,30011436.1680125,67927,12023.0,both,441.8189551726486
101,FL,Columbia,2008,37731017.1378125,68901,12023.0,both,547.6120395612909
102,FL,Columbia,2009,40150096.770225,69264,12023.0,both,579.6676017877253
103,FL,Columbia,2010,54609827.27295,67531,12023.0,both,808.6630921051074
104,FL,Columbia,2011,50996453.025,67326,12023.0,both,757.4555598877105
105,FL,Columbia,2012,49737844.83,67903,12023.0,both,732.4837611003932
106,FL,Columbia,2013,43371389.460225,67444,12023.0,both,643.0726152100261
107,FL,Columbia,2014,43490019.1088625,67821,12023.0,both,641.2470932139381
108,FL,Dixie,2006,2952746.125,14859,12029.0,both,198.71768793323912
109,FL,Dixie,2007,3098699.7413625,14871,12029.0,both,208.3719818009885
110,FL,Dixie,2008,3247389.765,14846,12029.0,both,218.73836487942881
111,FL,Dixie,2009,2874669.0413625,14824,12029.0,both,193.9199299354088
112,FL,Dixie,2010,2657110.35,16422,12029.0,both,161.8018724881257
113,FL,Dixie,2011,2559382.17,16403,12029.0,both,156.03134609522647
114,FL,Dixie,2012,3326242.5943125,16152,12029.0,both,205.9337911288076
115,FL,Dixie,2013,3489151.2865875,16084,12029.0,both,216.933056863187
116,FL,Dixie,2014,3425045.46,16041,12029.0,both,213.51820086029548
117,FL,Duval,2006,293452975.4726625,842100,12031.0,both,348.47758635870144
118,FL,Duval,2007,344954365.4414875,848841,12031.0,both,406.38278009837825
119,FL,Duval,2008,408809255.0861,853116,12031.0,both,479.1953908801382
120,FL,Duval,2009,534398118.6508125,857040,12031.0,both,623.5392964748582
121,FL,Duval,2010,765000296.9472001,864263,12031.0,both,885.1475730734742
