,BUYER_STATE,BUYER_COUNTY,TRANSACTION_YEAR,MME
0,WA,ADAMS,2006,2424598.848
1,WA,ADAMS,2007,2891419.8375
2,WA,ADAMS,2008,3410410.0875
3,WA,ADAMS,2009,3836773.95
4,WA,ADAMS,2010,4258329.037500001
5,WA,ADAMS,2011,4655499.1875
6,WA,ADAMS,2012,4531606.5975
7,WA,ADAMS,2013,4493743.65
8,WA,ADAMS,2014,4429483.95
9,WA,ASOTIN,2006,8202401.307
10,WA,ASOTIN,2007,7686124.8
11,WA,ASOTIN,2008,7928064.142725
12,WA,ASOTIN,2009,9136063.605
13,WA,ASOTIN,2010,13635555.4838625
14,WA,ASOTIN,2011,15274972.71
15,WA,ASOTIN,2012,15922687.5225
16,WA,ASOTIN,2013,17184793.7665875
17,WA,ASOTIN,2014,16922194.1475
18,WA,BENTON,2006,47357689.661
19,WA,BENTON,2007,46260114.7958125
20,WA,BENTON,2008,51265192.5244375
21,WA,BENTON,2009,56739019.4124
22,WA,BENTON,2010,63982021.538625
23,WA,BENTON,2011,69095600.7727125
24,WA,BENTON,2012,73905657.59295
25,WA,BENTON,2013,77473799.197725
26,WA,BENTON,2014,84730105.87522501
27,WA,CHELAN,2006,23476266.2596125
28,WA,CHELAN,2007,25575991.378725
29,WA,CHELAN,2008,25442207.4203625
30,WA,CHELAN,2009,24818139.4659
31,WA,CHELAN,2010,24501495.2245125
32,WA,CHELAN,2011,23054522.497725
33,WA,CHELAN,2012,22610926.0093125
34,WA,CHELAN,2013,23029049.7863625
35,WA,CHELAN,2014,25205494.0238625
36,WA,CLALLAM,2006,38022444.3064875
37,WA,CLALLAM,2007,45330893.2012875
38,WA,CLALLAM,2008,48294070.592925
39,WA,CLALLAM,2009,52228389.90225
40,WA,CLALLAM,2010,56952485.8022625
41,WA,CLALLAM,2011,55333861.81725
42,WA,CLALLAM,2012,51905335.632225
43,WA,CLALLAM,2013,50618579.441775
44,WA,CLALLAM,2014,50153420.92815
45,WA,CLARK,2006,118467976.730875
46,WA,CLARK,2007,179088580.63395
47,WA,CLARK,2008,288267955.215975
48,WA,CLARK,2009,196003658.9167875
49,WA,CLARK,2010,178062059.8665375
50,WA,CLARK,2011,167983965.3093375
51,WA,CLARK,2012,155831254.2635625
52,WA,CLARK,2013,154461781.977225
53,WA,CLARK,2014,159681454.002225
54,WA,COLUMBIA,2006,1003049.7135000001
55,WA,COLUMBIA,2007,1085004.9
56,WA,COLUMBIA,2008,786315.8625
57,WA,COLUMBIA,2009,761058.525
58,WA,COLUMBIA,2010,1049822.025
59,WA,COLUMBIA,2011,1175582.5875000001
60,WA,COLUMBIA,2012,1357933.6875
61,WA,COLUMBIA,2013,1489731.3375
62,WA,COLUMBIA,2014,1360134.5475
63,WA,COWLITZ,2006,49594881.303225
64,WA,COWLITZ,2007,59698839.9559875
65,WA,COWLITZ,2008,68422256.0882125
66,WA,COWLITZ,2009,65412242.843625
67,WA,COWLITZ,2010,64568999.8770375
68,WA,COWLITZ,2011,61017265.7981625
69,WA,COWLITZ,2012,60178879.234725
70,WA,COWLITZ,2013,61472943.010875
71,WA,COWLITZ,2014,63159110.4365625
72,WA,DOUGLAS,2006,7521936.961725
73,WA,DOUGLAS,2007,7928564.3857125
74,WA,DOUGLAS,2008,8470734.5713875
75,WA,DOUGLAS,2009,9158175.6436125
76,WA,DOUGLAS,2010,9788496.6811125
77,WA,DOUGLAS,2011,9181113.766575
78,WA,DOUGLAS,2012,9132355.477500001
79,WA,DOUGLAS,2013,9125214.075
80,WA,DOUGLAS,2014,9225473.25
81,WA,FERRY,2006,1518199.9725
82,WA,FERRY,2007,1986344.712
83,WA,FERRY,2008,2288684.55
84,WA,FERRY,2009,2213082.9413625
85,WA,FERRY,2010,2345338.35
86,WA,FERRY,2011,2603529.975
87,WA,FERRY,2012,2851485.0
88,WA,FERRY,2013,2776689.8625
89,WA,FERRY,2014,2556755.265
90,WA,FRANKLIN,2006,12031287.516225
91,WA,FRANKLIN,2007,12276141.5955
92,WA,FRANKLIN,2008,12449338.1188625
93,WA,FRANKLIN,2009,14234296.5
94,WA,FRANKLIN,2010,14792459.865
95,WA,FRANKLIN,2011,16504526.883862501
96,WA,FRANKLIN,2012,19072055.182725
97,WA,FRANKLIN,2013,20929136.5125
98,WA,FRANKLIN,2014,24426061.4925
99,WA,GARFIELD,2006,778398.7875
100,WA,GARFIELD,2007,1074698.0625
101,WA,GARFIELD,2008,1011766.5
102,WA,GARFIELD,2009,826459.05
103,WA,GARFIELD,2010,786099.825
104,WA,GARFIELD,2011,880984.125
105,WA,GARFIELD,2012,872555.3925
106,WA,GARFIELD,2013,993376.635
107,WA,GARFIELD,2014,1075578.6075
108,WA,GRANT,2006,38142715.6073625
109,WA,GRANT,2007,41822717.407725
110,WA,GRANT,2008,38262883.92795
111,WA,GRANT,2009,41785210.92795
112,WA,GRANT,2010,38636886.4463625
113,WA,GRANT,2011,38408360.122725
114,WA,GRANT,2012,36994979.4204375
115,WA,GRANT,2013,34636196.3343
116,WA,GRANT,2014,32847043.6556625
117,WA,GRAYS HARBOR,2006,31005308.143725
118,WA,GRAYS HARBOR,2007,35732065.9474125
119,WA,GRAYS HARBOR,2008,42239833.167225
120,WA,GRAYS HARBOR,2009,37392379.3699875
121,WA,GRAYS HARBOR,2010,36139545.832725
122,WA,GRAYS HARBOR,2011,37477071.5447625
123,WA,GRAYS HARBOR,2012,37741891.4893125
124,WA,GRAYS HARBOR,2013,40308961.583625
125,WA,GRAYS HARBOR,2014,43356853.673175
126,WA,ISLAND,2006,18187129.7060375
127,WA,ISLAND,2007,18127659.54485
128,WA,ISLAND,2008,17553634.3180875
129,WA,ISLAND,2009,16537355.7938625
130,WA,ISLAND,2010,17639589.165
131,WA,ISLAND,2011,17537616.5888625
132,WA,ISLAND,2012,17654680.6040625
133,WA,ISLAND,2013,18121214.17635
134,WA,ISLAND,2014,19055567.1718125
135,WA,JEFFERSON,2006,3589464.4635
136,WA,JEFFERSON,2007,4667226.5985
137,WA,JEFFERSON,2008,5655645.465
138,WA,JEFFERSON,2009,6154809.75
139,WA,JEFFERSON,2010,6794232.48
140,WA,JEFFERSON,2011,7374590.8165875
141,WA,JEFFERSON,2012,8252576.85885
142,WA,JEFFERSON,2013,8658078.6415875
143,WA,JEFFERSON,2014,9531965.8088625
144,WA,KING,2006,543243209.017325
145,WA,KING,2007,567918765.4578125
146,WA,KING,2008,610069450.2158126
147,WA,KING,2009,627939381.9220124
148,WA,KING,2010,646956449.6017125
149,WA,KING,2011,640517662.3440375
150,WA,KING,2012,611352688.0936126
151,WA,KING,2013,588164193.4788
152,WA,KING,2014,592248175.8156
153,WA,KITSAP,2006,64937920.7352625
154,WA,KITSAP,2007,68981497.206975
155,WA,KITSAP,2008,76884701.01225
156,WA,KITSAP,2009,81171555.32655
157,WA,KITSAP,2010,88670300.4604125
158,WA,KITSAP,2011,88422142.834275
159,WA,KITSAP,2012,87058065.172425
160,WA,KITSAP,2013,79180756.5319875
161,WA,KITSAP,2014,76826219.08155
162,WA,KITTITAS,2006,9093796.4048625
163,WA,KITTITAS,2007,9211506.4425
164,WA,KITTITAS,2008,10141651.365
165,WA,KITTITAS,2009,9828329.0213625
166,WA,KITTITAS,2010,10529154.2475
167,WA,KITTITAS,2011,11841145.4438625
168,WA,KITTITAS,2012,11998769.4675
169,WA,KITTITAS,2013,12649938.585
170,WA,KITTITAS,2014,12933555.3413625
171,WA,KLICKITAT,2006,1997275.6695
172,WA,KLICKITAT,2007,2517741.4875
173,WA,KLICKITAT,2008,2560843.2188625
174,WA,KLICKITAT,2009,2843889.525
175,WA,KLICKITAT,2010,2624773.95
176,WA,KLICKITAT,2011,2797973.1375
177,WA,KLICKITAT,2012,3178606.215
178,WA,KLICKITAT,2013,3533738.0740875
179,WA,KLICKITAT,2014,3083829.2775
180,WA,LEWIS,2006,28295827.6162625
181,WA,LEWIS,2007,35427502.206375
182,WA,LEWIS,2008,41459458.326825
183,WA,LEWIS,2009,45848953.7512875
184,WA,LEWIS,2010,42866022.18225
185,WA,LEWIS,2011,40843268.2918125
186,WA,LEWIS,2012,39861923.9397
187,WA,LEWIS,2013,38477349.957
188,WA,LEWIS,2014,38848140.12975
189,WA,LINCOLN,2006,3231801.495225
190,WA,LINCOLN,2007,3954140.7675
191,WA,LINCOLN,2008,4197673.3913625
192,WA,LINCOLN,2009,4805908.1625
193,WA,LINCOLN,2010,4818079.5
194,WA,LINCOLN,2011,4413150.2625
195,WA,LINCOLN,2012,4614201.9375
196,WA,LINCOLN,2013,5131388.925
197,WA,LINCOLN,2014,5060025.99
198,WA,MASON,2006,12980432.2785
199,WA,MASON,2007,14779235.790000001
200,WA,MASON,2008,17268370.4265
201,WA,MASON,2009,19808055.7390875
202,WA,MASON,2010,22558235.2388625
203,WA,MASON,2011,24603788.362725
204,WA,MASON,2012,23564035.7672625
205,WA,MASON,2013,22267489.08135
206,WA,MASON,2014,21411378.33225
207,WA,OKANOGAN,2006,14189955.625500001
208,WA,OKANOGAN,2007,17305320.1155
209,WA,OKANOGAN,2008,19154814.945225
210,WA,OKANOGAN,2009,21779971.1184
211,WA,OKANOGAN,2010,24892731.8518125
212,WA,OKANOGAN,2011,21848150.5690875
213,WA,OKANOGAN,2012,17674612.9693125
214,WA,OKANOGAN,2013,13360120.002037501
215,WA,OKANOGAN,2014,13177892.903175
216,WA,PACIFIC,2006,9281652.2445
217,WA,PACIFIC,2007,10519284.0870375
218,WA,PACIFIC,2008,12231422.1356625
219,WA,PACIFIC,2009,16600360.9088625
220,WA,PACIFIC,2010,17796522.7875
221,WA,PACIFIC,2011,18355074.6713625
222,WA,PACIFIC,2012,16657715.4975
223,WA,PACIFIC,2013,16403985.0413625
224,WA,PACIFIC,2014,16506427.0575
225,WA,PEND OREILLE,2006,7940225.713500001
226,WA,PEND OREILLE,2007,9200555.025
227,WA,PEND OREILLE,2008,9542375.925
228,WA,PEND OREILLE,2009,9801218.7375
229,WA,PEND OREILLE,2010,9262608.8625
230,WA,PEND OREILLE,2011,8148004.8375
231,WA,PEND OREILLE,2012,7784505.0525
232,WA,PEND OREILLE,2013,8001651.3825
233,WA,PEND OREILLE,2014,7281379.8
234,WA,PIERCE,2006,222611054.6263625
235,WA,PIERCE,2007,260048243.458925
236,WA,PIERCE,2008,265018328.78615
237,WA,PIERCE,2009,274530858.8062875
238,WA,PIERCE,2010,277785725.9746875
239,WA,PIERCE,2011,271541927.5213125
240,WA,PIERCE,2012,254441255.5513125
241,WA,PIERCE,2013,247305736.5783
242,WA,PIERCE,2014,263442226.604925
243,WA,SAN JUAN,2006,2633223.5738625
