,State,County,Year,MME,Population,fips,_merge,Prescription Rate Per Capita
0,WA,Adams,2006,2424598.848,16615,53001.0,both,145.928308636774
1,WA,Adams,2007,2891419.8375,16943,53001.0,both,170.6557184382931
2,WA,Adams,2008,3410410.0875,17257,53001.0,both,197.62473706322072
3,WA,Adams,2009,3836773.95,17732,53001.0,both,216.3757021204602
4,WA,Adams,2010,4258329.037500001,18728,53001.0,both,227.37767180158056
5,WA,Adams,2011,4655499.1875,18876,53001.0,both,246.63589677368086
6,WA,Adams,2012,4531606.5975,18936,53001.0,both,239.31171300697085
7,WA,Adams,2013,4493743.65,19080,53001.0,both,235.5211556603774
8,WA,Adams,2014,4429483.95,19154,53001.0,both,231.2563407121228
9,WA,Asotin,2006,8202401.307,21108,53003.0,both,388.5920649516771
10,WA,Asotin,2007,7686124.8,21167,53003.0,both,363.1182879009779
11,WA,Asotin,2008,7928064.142725,21385,53003.0,both,370.73014462122984
12,WA,Asotin,2009,9136063.605,21432,53003.0,both,426.2814298712206
13,WA,Asotin,2010,13635555.4838625,21623,53003.0,both,630.6042401083338
14,WA,Asotin,2011,15274972.71,21984,53003.0,both,694.8222666484717
15,WA,Asotin,2012,15922687.5225,21935,53003.0,both,725.9032378618647
16,WA,Asotin,2013,17184793.7665875,22167,53003.0,both,775.242196354378
17,WA,Asotin,2014,16922194.1475,22235,53003.0,both,761.0611264897684
18,WA,Benton,2006,47357689.661,157577,53005.0,both,300.536814769922
19,WA,Benton,2007,46260114.7958125,159444,53005.0,both,290.13393289062304
20,WA,Benton,2008,51265192.5244375,164020,53005.0,both,312.5545209391385
21,WA,Benton,2009,56739019.4124,168294,53005.0,both,337.14225945309994
22,WA,Benton,2010,63982021.538625,175177,53005.0,both,365.2421353181354
23,WA,Benton,2011,69095600.7727125,180449,53005.0,both,382.9093027543101
24,WA,Benton,2012,73905657.59295,182400,53005.0,both,405.18452627713816
25,WA,Benton,2013,77473799.197725,184362,53005.0,both,420.2265065345624
26,WA,Benton,2014,84730105.87522501,186535,53005.0,both,454.2316770323264
27,WA,Chelan,2006,23476266.2596125,69919,53007.0,both,335.7637589154951
28,WA,Chelan,2007,25575991.378725,70677,53007.0,both,361.8714911318392
29,WA,Chelan,2008,25442207.4203625,71308,53007.0,both,356.7931707573133
30,WA,Chelan,2009,24818139.4659,72372,53007.0,both,342.92460434836676
31,WA,Chelan,2010,24501495.2245125,72453,53007.0,both,338.1708862919755
32,WA,Chelan,2011,23054522.497725,73213,53007.0,both,314.89656888428283
