Year,County Code,County_State,Deaths
2003.0,1001.0,"Autauga County, AL",397.0
2003.0,1003.0,"Baldwin County, AL",1503.0
2003.0,1005.0,"Barbour County, AL",287.0
2003.0,1007.0,"Bibb County, AL",226.0
2003.0,1009.0,"Blount County, AL",552.0
2003.0,1011.0,"Bullock County, AL",121.0
2003.0,1013.0,"Butler County, AL",308.0
2003.0,1015.0,"Calhoun County, AL",1286.0
2003.0,1017.0,"Chambers County, AL",465.0
2003.0,1019.0,"Cherokee County, AL",302.0
2003.0,1021.0,"Chilton County, AL",441.0
2003.0,1023.0,"Choctaw County, AL",178.0
2003.0,1025.0,"Clarke County, AL",273.0
2003.0,1027.0,"Clay County, AL",165.0
2003.0,1029.0,"Cleburne County, AL",175.0
2003.0,1031.0,"Coffee County, AL",464.0
2003.0,1033.0,"Colbert County, AL",602.0
2003.0,1035.0,"Conecuh County, AL",183.0
2003.0,1037.0,"Coosa County, AL",129.0
2003.0,1039.0,"Covington County, AL",504.0
2003.0,1041.0,"Crenshaw County, AL",179.0
2003.0,1043.0,"Cullman County, AL",900.0
2003.0,1045.0,"Dale County, AL",451.0
2003.0,1047.0,"Dallas County, AL",546.0
2003.0,1049.0,"DeKalb County, AL",679.0
2003.0,1051.0,"Elmore County, AL",627.0
2003.0,1053.0,"Escambia County, AL",417.0
2003.0,1055.0,"Etowah County, AL",1372.0
2003.0,1057.0,"Fayette County, AL",206.0
2003.0,1059.0,"Franklin County, AL",371.0
2003.0,1061.0,"Geneva County, AL",344.0
2003.0,1063.0,"Greene County, AL",121.0
2003.0,1065.0,"Hale County, AL",210.0
2003.0,1067.0,"Henry County, AL",224.0
2003.0,1069.0,"Houston County, AL",835.0
2003.0,1071.0,"Jackson County, AL",587.0
2003.0,1073.0,"Jefferson County, AL",7336.0
2003.0,1075.0,"Lamar County, AL",181.0
2003.0,1077.0,"Lauderdale County, AL",941.0
2003.0,1079.0,"Lawrence County, AL",340.0
2003.0,1081.0,"Lee County, AL",839.0
2003.0,1083.0,"Limestone County, AL",586.0
2003.0,1085.0,"Lowndes County, AL",143.0
2003.0,1087.0,"Macon County, AL",260.0
2003.0,1089.0,"Madison County, AL",2283.0
2003.0,1091.0,"Marengo County, AL",266.0
2003.0,1093.0,"Marion County, AL",379.0
2003.0,1095.0,"Marshall County, AL",992.0
2003.0,1097.0,"Mobile County, AL",3962.0
2003.0,1099.0,"Monroe County, AL",257.0
2003.0,1101.0,"Montgomery County, AL",2023.0
2003.0,1103.0,"Morgan County, AL",1072.0
2003.0,1105.0,"Perry County, AL",142.0
2003.0,1107.0,"Pickens County, AL",268.0
2003.0,1109.0,"Pike County, AL",302.0
2003.0,1111.0,"Randolph County, AL",269.0
2003.0,1113.0,"Russell County, AL",536.0
2003.0,1115.0,"St. Clair County, AL",721.0
2003.0,1117.0,"Shelby County, AL",1045.0
2003.0,1119.0,"Sumter County, AL",163.0
2003.0,1121.0,"Talladega County, AL",896.0
2003.0,1123.0,"Tallapoosa County, AL",509.0
2003.0,1125.0,"Tuscaloosa County, AL",1524.0
2003.0,1127.0,"Walker County, AL",992.0
2003.0,1129.0,"Washington County, AL",159.0
2003.0,1131.0,"Wilcox County, AL",155.0
2003.0,1133.0,"Winston County, AL",286.0
2003.0,4001.0,"Apache County, AZ",486.0
2003.0,4003.0,"Cochise County, AZ",1134.0
2003.0,4005.0,"Coconino County, AZ",633.0
2003.0,4007.0,"Gila County, AZ",625.0
2003.0,4009.0,"Graham County, AZ",255.0
2003.0,4011.0,"Greenlee County, AZ",53.0
2003.0,4012.0,"La Paz County, AZ",195.0
2003.0,4013.0,"Maricopa County, AZ",23813.0
2003.0,4015.0,"Mohave County, AZ",2287.0
2003.0,4017.0,"Navajo County, AZ",811.0
2003.0,4019.0,"Pima County, AZ",7761.0
2003.0,4021.0,"Pinal County, AZ",1703.0
2003.0,4023.0,"Santa Cruz County, AZ",207.0
2003.0,4025.0,"Yavapai County, AZ",2144.0
2003.0,4027.0,"Yuma County, AZ",1159.0
2003.0,5001.0,"Arkansas County, AR",300.0
2003.0,5003.0,"Ashley County, AR",239.0
2003.0,5005.0,"Baxter County, AR",670.0
2003.0,5007.0,"Benton County, AR",1303.0
2003.0,5009.0,"Boone County, AR",364.0
2003.0,5011.0,"Bradley County, AR",172.0
