County,Year,Population,State,fips,_merge
Autauga County,2003,45762,AL,1001.0,both
Baldwin County,2003,151707,AL,1003.0,both
Barbour County,2003,29480,AL,1005.0,both
Bibb County,2003,21037,AL,1007.0,both
Blount County,2003,53726,AL,1009.0,both
Bullock County,2003,11305,AL,1011.0,both
Butler County,2003,20536,AL,1013.0,both
Calhoun County,2003,111378,AL,1015.0,both
Chambers County,2003,35626,AL,1017.0,both
Cherokee County,2003,24159,AL,1019.0,both
Chilton County,2003,40776,AL,1021.0,both
Choctaw County,2003,15168,AL,1023.0,both
Clarke County,2003,27076,AL,1025.0,both
Clay County,2003,14066,AL,1027.0,both
Cleburne County,2003,14378,AL,1029.0,both
Coffee County,2003,44186,AL,1031.0,both
Colbert County,2003,54319,AL,1033.0,both
Conecuh County,2003,13436,AL,1035.0,both
Coosa County,2003,11423,AL,1037.0,both
Covington County,2003,36495,AL,1039.0,both
Crenshaw County,2003,13562,AL,1041.0,both
Cullman County,2003,78110,AL,1043.0,both
Dale County,2003,49052,AL,1045.0,both
Dallas County,2003,44504,AL,1047.0,both
DeKalb County,2003,66009,AL,1049.0,both
Elmore County,2003,70151,AL,1051.0,both
Escambia County,2003,38028,AL,1053.0,both
Etowah County,2003,102698,AL,1055.0,both
Fayette County,2003,18145,AL,1057.0,both
Franklin County,2003,30684,AL,1059.0,both
Geneva County,2003,25481,AL,1061.0,both
Greene County,2003,9697,AL,1063.0,both
Hale County,2003,18013,AL,1065.0,both
Henry County,2003,16370,AL,1067.0,both
Houston County,2003,91147,AL,1069.0,both
Jackson County,2003,53483,AL,1071.0,both
Jefferson County,2003,660486,AL,1073.0,both
Lamar County,2003,15065,AL,1075.0,both
Lauderdale County,2003,86944,AL,1077.0,both
Lawrence County,2003,34393,AL,1079.0,both
Lee County,2003,119631,AL,1081.0,both
Limestone County,2003,67685,AL,1083.0,both
Lowndes County,2003,13316,AL,1085.0,both
Macon County,2003,23470,AL,1087.0,both
Madison County,2003,290763,AL,1089.0,both
Marengo County,2003,21930,AL,1091.0,both
Marion County,2003,29972,AL,1093.0,both
Marshall County,2003,83592,AL,1095.0,both
Mobile County,2003,397707,AL,1097.0,both
Monroe County,2003,23532,AL,1099.0,both
Montgomery County,2003,222486,AL,1101.0,both
Morgan County,2003,112287,AL,1103.0,both
Perry County,2003,11241,AL,1105.0,both
Pickens County,2003,20316,AL,1107.0,both
Pike County,2003,29413,AL,1109.0,both
Randolph County,2003,22268,AL,1111.0,both
Russell County,2003,48684,AL,1113.0,both
St. Clair County,2003,68292,AL,1115.0,both
Shelby County,2003,159608,AL,1117.0,both
Sumter County,2003,13996,AL,1119.0,both
Talladega County,2003,79776,AL,1121.0,both
Tallapoosa County,2003,40693,AL,1123.0,both
Tuscaloosa County,2003,167484,AL,1125.0,both
Walker County,2003,69514,AL,1127.0,both
Washington County,2003,17743,AL,1129.0,both
Wilcox County,2003,12781,AL,1131.0,both
Winston County,2003,24350,AL,1133.0,both
Autauga County,2004,46933,AL,1001.0,both
Baldwin County,2004,156573,AL,1003.0,both
Barbour County,2004,29458,AL,1005.0,both
Bibb County,2004,21208,AL,1007.0,both
Blount County,2004,54469,AL,1009.0,both
Bullock County,2004,11038,AL,1011.0,both
Butler County,2004,20476,AL,1013.0,both
Calhoun County,2004,111615,AL,1015.0,both
Chambers County,2004,35387,AL,1017.0,both
Cherokee County,2004,24291,AL,1019.0,both
Chilton County,2004,41170,AL,1021.0,both
Choctaw County,2004,14894,AL,1023.0,both
Clarke County,2004,26944,AL,1025.0,both
Clay County,2004,13939,AL,1027.0,both
Cleburne County,2004,14264,AL,1029.0,both
Coffee County,2004,44712,AL,1031.0,both
Colbert County,2004,54427,AL,1033.0,both
Conecuh County,2004,13238,AL,1035.0,both
Coosa County,2004,11156,AL,1037.0,both
Covington County,2004,36322,AL,1039.0,both
Crenshaw County,2004,13602,AL,1041.0,both
Cullman County,2004,78711,AL,1043.0,both
Dale County,2004,48691,AL,1045.0,both
Dallas County,2004,43927,AL,1047.0,both
DeKalb County,2004,66574,AL,1049.0,both
Elmore County,2004,71276,AL,1051.0,both
Escambia County,2004,37888,AL,1053.0,both
Etowah County,2004,102657,AL,1055.0,both
Fayette County,2004,17998,AL,1057.0,both
Franklin County,2004,30533,AL,1059.0,both
Geneva County,2004,25458,AL,1061.0,both
Greene County,2004,9534,AL,1063.0,both
Hale County,2004,17876,AL,1065.0,both
Henry County,2004,16432,AL,1067.0,both
Houston County,2004,92374,AL,1069.0,both
