County,Year,Population,State,fips,Deaths,_merge,drug_mortality_per_capita
Autauga County,2003.0,45762,AL,1001.0,397.0,both,0.008675320134609501
Baldwin County,2003.0,151707,AL,1003.0,1503.0,both,0.009907255433170519
Barbour County,2003.0,29480,AL,1005.0,287.0,both,0.009735413839891452
Bibb County,2003.0,21037,AL,1007.0,226.0,both,0.010742976660170177
Blount County,2003.0,53726,AL,1009.0,552.0,both,0.010274355060864385
Bullock County,2003.0,11305,AL,1011.0,121.0,both,0.010703228659885006
Butler County,2003.0,20536,AL,1013.0,308.0,both,0.014998052201012855
Calhoun County,2003.0,111378,AL,1015.0,1286.0,both,0.011546265869381745
Chambers County,2003.0,35626,AL,1017.0,465.0,both,0.013052265199573346
Cherokee County,2003.0,24159,AL,1019.0,302.0,both,0.012500517405521753
Chilton County,2003.0,40776,AL,1021.0,441.0,both,0.01081518540317834
Choctaw County,2003.0,15168,AL,1023.0,178.0,both,0.01173523206751055
Clarke County,2003.0,27076,AL,1025.0,273.0,both,0.010082730093071354
Clay County,2003.0,14066,AL,1027.0,165.0,both,0.011730413763685483
Cleburne County,2003.0,14378,AL,1029.0,175.0,both,0.012171372930866602
Coffee County,2003.0,44186,AL,1031.0,464.0,both,0.010501063685330195
Colbert County,2003.0,54319,AL,1033.0,602.0,both,0.01108267825254515
Conecuh County,2003.0,13436,AL,1035.0,183.0,both,0.013620125037213457
Coosa County,2003.0,11423,AL,1037.0,129.0,both,0.0112930053401033
Covington County,2003.0,36495,AL,1039.0,504.0,both,0.013810110974106041
Crenshaw County,2003.0,13562,AL,1041.0,179.0,both,0.013198643267954578
Cullman County,2003.0,78110,AL,1043.0,900.0,both,0.011522212264754833
Dale County,2003.0,49052,AL,1045.0,451.0,both,0.009194324390442795
Dallas County,2003.0,44504,AL,1047.0,546.0,both,0.012268560129426568
DeKalb County,2003.0,66009,AL,1049.0,679.0,both,0.010286476086594252
Elmore County,2003.0,70151,AL,1051.0,627.0,both,0.00893786261065416
Escambia County,2003.0,38028,AL,1053.0,417.0,both,0.01096560429157463
Etowah County,2003.0,102698,AL,1055.0,1372.0,both,0.013359559095600694
Fayette County,2003.0,18145,AL,1057.0,206.0,both,0.011352989804353817
Franklin County,2003.0,30684,AL,1059.0,371.0,both,0.012090992047972884
Geneva County,2003.0,25481,AL,1061.0,344.0,both,0.013500255092029356
Greene County,2003.0,9697,AL,1063.0,121.0,both,0.01247808600598123
Hale County,2003.0,18013,AL,1065.0,210.0,both,0.011658246821739854
Henry County,2003.0,16370,AL,1067.0,224.0,both,0.013683567501527183
Houston County,2003.0,91147,AL,1069.0,835.0,both,0.009161025596015228
Jackson County,2003.0,53483,AL,1071.0,587.0,both,0.010975450143036105
Jefferson County,2003.0,660486,AL,1073.0,7336.0,both,0.011106972744312521
Lamar County,2003.0,15065,AL,1075.0,181.0,both,0.012014603385330235
Lauderdale County,2003.0,86944,AL,1077.0,941.0,both,0.010823058520426941
Lawrence County,2003.0,34393,AL,1079.0,340.0,both,0.009885732561858518
Lee County,2003.0,119631,AL,1081.0,839.0,both,0.007013232356161864
Limestone County,2003.0,67685,AL,1083.0,586.0,both,0.008657752825589126
Lowndes County,2003.0,13316,AL,1085.0,143.0,both,0.010738960648843497
Macon County,2003.0,23470,AL,1087.0,260.0,both,0.011077971878994461
Madison County,2003.0,290763,AL,1089.0,2283.0,both,0.00785175555349202
Marengo County,2003.0,21930,AL,1091.0,266.0,both,0.012129502963976288
Marion County,2003.0,29972,AL,1093.0,379.0,both,0.012645135459762445
Marshall County,2003.0,83592,AL,1095.0,992.0,both,0.011867164321944684
Mobile County,2003.0,397707,AL,1097.0,3962.0,both,0.009962107782865276
Monroe County,2003.0,23532,AL,1099.0,257.0,both,0.010921298657147714
Montgomery County,2003.0,222486,AL,1101.0,2023.0,both,0.009092706956842228
Morgan County,2003.0,112287,AL,1103.0,1072.0,both,0.009546964474961483
