County,Year,Population,State,fips,Deaths,_merge,MeanDeath,Deaths_Inputed,drug_mortality
Autauga County,2003.0,45762,AL,1001.0,,left_only,1.5671641791044777,1.5671641791044777,3.4245972184442936e-05
Baldwin County,2003.0,151707,AL,1003.0,10.0,both,1.5671641791044777,10.0,6.591653648150711e-05
Barbour County,2003.0,29480,AL,1005.0,,left_only,1.5671641791044777,1.5671641791044777,5.3160250308835744e-05
Bibb County,2003.0,21037,AL,1007.0,,left_only,1.5671641791044777,1.5671641791044777,7.44956114990007e-05
Blount County,2003.0,53726,AL,1009.0,,left_only,1.5671641791044777,1.5671641791044777,2.9169567418093246e-05
Bullock County,2003.0,11305,AL,1011.0,,left_only,1.5671641791044777,1.5671641791044777,0.00013862575666558847
Butler County,2003.0,20536,AL,1013.0,,left_only,1.5671641791044777,1.5671641791044777,7.631302001872213e-05
Calhoun County,2003.0,111378,AL,1015.0,,left_only,1.5671641791044777,1.5671641791044777,1.40706798389671e-05
Chambers County,2003.0,35626,AL,1017.0,,left_only,1.5671641791044777,1.5671641791044777,4.398933866009313e-05
Cherokee County,2003.0,24159,AL,1019.0,,left_only,1.5671641791044777,1.5671641791044777,6.486875198081368e-05
Chilton County,2003.0,40776,AL,1021.0,,left_only,1.5671641791044777,1.5671641791044777,3.843349468080434e-05
Choctaw County,2003.0,15168,AL,1023.0,,left_only,1.5671641791044777,1.5671641791044777,0.00010332042320045343
Clarke County,2003.0,27076,AL,1025.0,,left_only,1.5671641791044777,1.5671641791044777,5.78801957122351e-05
Clay County,2003.0,14066,AL,1027.0,,left_only,1.5671641791044777,1.5671641791044777,0.0001114150561001335
Cleburne County,2003.0,14378,AL,1029.0,,left_only,1.5671641791044777,1.5671641791044777,0.00010899736953014868
Coffee County,2003.0,44186,AL,1031.0,,left_only,1.5671641791044777,1.5671641791044777,3.5467437177035205e-05
Colbert County,2003.0,54319,AL,1033.0,,left_only,1.5671641791044777,1.5671641791044777,2.885112353144347e-05
Conecuh County,2003.0,13436,AL,1035.0,,left_only,1.5671641791044777,1.5671641791044777,0.00011663919165707634
Coosa County,2003.0,11423,AL,1037.0,,left_only,1.5671641791044777,1.5671641791044777,0.0001371937476236083
Covington County,2003.0,36495,AL,1039.0,,left_only,1.5671641791044777,1.5671641791044777,4.294188735729491e-05
Crenshaw County,2003.0,13562,AL,1041.0,,left_only,1.5671641791044777,1.5671641791044777,0.00011555553599059708
Cullman County,2003.0,78110,AL,1043.0,,left_only,1.5671641791044777,1.5671641791044777,2.0063553694846724e-05
Dale County,2003.0,49052,AL,1045.0,,left_only,1.5671641791044777,1.5671641791044777,3.194903732986377e-05
